"4,426.00"
"4,433.00"
"4,441.00"
"4,448.00"
"4,455.00"
"4,462.00"
"4,469.00"
"4,477.00"
"4,484.00"
"4,491.00"
"4,346.40"
"4,353.60"
"4,360.80"
"4,368.00"
"4,375.20"
"4,382.40"
"4,389.60"
"4,396.80"
"4,404.00"
"4,411.20"
"4,266.60"
"4,273.80"
"4,281.00"
"4,288.20"
"4,295.40"
"4,302.60"
"4,309.80"
"4,317.00"
"4,324.20"
"4,331.40"
"4,186.80"
"4,194.00"
"4,201.20"
"4,208.40"
"4,215.60"
"4,222.80"
"4,230.00"
"4,237.20"
"4,244.40"
"4,251.60"
"4,107.00"
"4,114.20"
"4,121.40"
"4,128.60"
"4,135.80"
"4,143.00"
"4,150.20"
"4,157.40"
"4,164.60"
"4,171.80"
"4,027.20"
"4,034.40"
"4,041.60"
"4,048.80"
"4,056.00"
"4,063.20"
"4,070.40"
"4,077.60"
"4,084.80"
"4,092.00"
"3,936.40"
"3,944.60"
"3,952.80"
"3,961.00"
"3,969.20"
"3,977.40"
"3,985.60"
"3,993.80"
"4,002.00"
"4,010.20"
"3,856.60"
"3,863.80"
"3,871.00"
"3,878.20"
"3,885.40"
"3,892.60"
"3,899.80"
"3,907.00"
"3,914.20"
"3,921.40"
"3,776.80"
"3,784.00"
"3,791.20"
"3,798.40"
"3,805.60"
"3,812.80"
"3,820.00"
"3,827.20"
"3,834.40"
"3,841.60"
"3,697.00"
"3,704.20"
"3,711.40"
"3,718.60"
"3,725.80"
"3,733.00"
"3,740.20"
"3,747.40"
"3,754.60"
"3,761.80"
"3,617.20"
"3,624.40"
"3,631.60"
"3,638.80"
"3,646.00"
"3,653.20"
"3,660.40"
"3,667.60"
"3,674.80"
"3,682.00"
"3,537.40"
"3,544.00"
"3,551.80"
"3,559.00"
"3,566.20"
"3,573.40"
"3,580.60"
"3,587.80"
"3,595.00"
"3,602.00"
"3,457.60"
"3,464.80"
"3,472.00"
"3,479.20"
"3,486.40"
"3,493.60"
"3,500.80"
"3,508.00"
"3,515.20"
"3,522.40"
"3,377.80"
"3,385.00"
"3,392.20"
"3,399.40"
"3,406.60"
"3,413.80"
"3,421.00"
"3,428.20"
"3,435.40"
"3,442.60"
"3,298.00"
"3,305.20"
"3,312.40"
"3,319.60"
"3,326.80"
"3,334.00"
"3,341.20"
"3,348.40"
"3,355.60"
"3,362.80"
